timestamp_ms,accel_x_g,accel_y_g,accel_z_g,magnitude_g,filtered_magnitude_g,steps
87958,-0.0020,-0.0560,1.0440,1.0455,0.0491,0
88062,-0.0030,-0.0560,1.0420,1.0435,0.0469,0
88189,-0.0020,-0.0550,1.0450,1.0464,0.0459,0
88293,0.0020,-0.0590,1.0500,1.0517,0.0490,0
88396,-0.0030,-0.0580,1.0490,1.0506,0.0490,0
88501,-0.0050,-0.0570,1.0640,1.0655,0.0498,0
88653,-0.0040,-0.0500,1.0420,1.0432,0.0520,0
88876,0.0020,-0.0530,1.0480,1.0493,0.0494,0
89076,-0.0060,-0.0540,1.0440,1.0454,0.0484,0
89181,-0.0060,-0.0550,1.0430,1.0445,0.0477,0
89308,-0.0030,-0.0580,1.0450,1.0466,0.0469,0
89435,-0.0040,-0.0600,1.0490,1.0507,0.0475,0
89587,-0.0040,-0.0550,1.0510,1.0524,0.0493,0
89811,-0.0050,-0.0550,1.0540,1.0554,0.0560,0
89914,-0.0040,-0.0610,1.0490,1.0508,0.0533,0
90066,-0.0040,-0.0580,1.0430,1.0446,0.0502,0
90172,-0.0060,-0.0590,1.0470,1.0487,0.0489,0
90300,-0.0040,-0.0600,1.0440,1.0457,0.0480,0
90452,-0.0040,-0.0610,1.0510,1.0528,0.0501,0
90580,-0.0020,-0.0570,1.0510,1.0525,0.0509,0
90708,-0.0120,-0.0610,1.0400,1.0419,0.0495,0
90860,-0.0070,-0.0570,1.0440,1.0456,0.0490,0
90987,-0.0010,-0.0560,1.0470,1.0485,0.0487,0
91091,-0.0050,-0.0560,1.0450,1.0465,0.0477,0
91316,-0.0070,-0.0570,1.0530,1.0546,0.0519,0
91420,-0.0100,-0.0600,1.0460,1.0478,0.0514,0
91549,-0.0080,-0.0430,1.0640,1.0649,0.0504,0
91653,0.3590,-0.2400,1.1870,1.2631,0.1257,0
91780,0.0990,-0.5150,1.1150,1.2322,0.1558,0
91861,-0.0370,-0.6520,0.7450,0.9907,0.1558,0
91965,-0.1680,-1.0940,0.4510,1.1952,0.1355,0
92117,-0.8040,-0.9280,0.3550,1.2781,0.0496,0
92431,-0.0730,-1.2510,-0.1580,1.2630,0.3835,0
92559,0.4070,-0.2650,0.3100,0.5762,0.0932,0
92663,0.5200,-0.6950,0.1550,0.8817,-0.0396,0
92791,-0.7090,-1.8890,-0.1910,2.0267,0.3444,0
92918,-1.0230,-0.9540,-0.3370,1.4388,0.4681,0
93047,-0.7460,-0.7050,-0.2670,1.0606,0.3377,0
93175,-0.8630,-1.9140,-0.4180,2.1408,0.4876,0
93302,0.3650,-1.1240,0.0300,1.1822,0.5847,0
93406,0.7690,-0.2180,0.2280,0.8312,0.3302,0
93510,0.4170,-1.0650,-0.2270,1.1660,0.1854,0
93615,-0.7230,-1.8140,-0.2530,1.9691,0.4525,0
93767,-1.1240,-0.9780,-0.6260,1.6161,0.6504,0
93872,-0.6840,-0.3630,-0.2530,0.8146,0.4162,0
94071,-0.8570,-2.0020,-0.4990,2.2342,0.6521,0
94175,0.0060,-1.4440,-0.0670,1.4456,0.7306,0
94302,0.5800,-0.0440,0.1660,0.6049,0.2885,0
94502,-0.4970,-1.9850,-0.0600,2.0472,0.3362,0
94654,-1.1380,-1.8110,-0.3700,2.1706,0.7339,0
94761,-1.0090,-0.4200,-0.1740,1.1067,0.6113,0
94912,-0.8150,-1.1690,-0.6360,1.5605,0.4612,0
95017,-0.7260,-1.8120,-0.4280,1.9984,0.6208,0
95168,0.1820,-0.9370,0.2000,0.9752,0.6461,0
95298,0.3660,-0.3510,0.3240,0.6018,0.2096,0
95402,0.5380,-0.4900,0.1850,0.7508,0.0339,0
95623,-1.0340,-1.2830,-1.0110,1.9332,0.6252,0
95775,-0.8990,-0.7250,-0.2900,1.1908,0.4284,0
95880,-0.7570,-1.1930,-0.7270,1.5890,0.4088,0
96008,-0.7510,-1.9990,-0.8230,2.2885,0.6981,0
96138,0.0960,-0.5730,-0.0340,0.5820,0.4856,0
96218,0.2620,-0.2400,0.0860,0.3656,0.1915,0
96368,0.2690,-0.7280,0.0460,0.7775,-0.1170,0
96495,-0.2710,-1.9700,-0.1420,1.9936,0.2289,0
96601,-1.0970,-1.7600,-1.1400,2.3666,0.5953,0
96729,-1.1560,-0.4710,0.0250,1.2485,0.5284,0
96833,-0.8340,-1.1300,-0.1830,1.4163,0.5165,0
96985,-1.2430,-1.8530,-0.2290,2.2430,0.6284,0
97185,0.0980,-0.4680,0.1750,0.5092,0.4391,0
97290,0.0080,-0.1610,0.0880,0.1837,0.0272,0
97417,-0.4330,-0.3930,0.0390,0.5861,-0.2145,0
